PNsymbol,S11.3,OIhipster,OmniOS
SUNWpython26_imaging,library/python-2/python-imaging-26,library/python-2/python-imaging-26,library/python-2/python-imaging-26
SUNWpython26_setuptools_devel,library/python/setuptools-26,library/python-2/setuptools-26,library/python-2/setuptools-26
SUNWsane_backend,image/scanner/xsane/sane-backends,image/scanner/xsane/sane-backends,image/scanner/xsane/sane-backends
SUNWsane_backend_devel,image/scanner/xsane/sane-backends,SUNWsane-backend-devel,SUNWsane-backend-devel
SUNWsfwhea,SUNWhea,SUNWhea,SUNWhea
SUNWslang,library/slang,library/slang,library/slang
SUNWsmba,service/network/samba,service/network/samba,service/network/samba
SUNWsmba_devel,service/network/samba,service/network/samba,service/network/samba
SUNWsmbau,service/network/samba,service/network/samba,service/network/samba
SUNWsndm,service/network/smtp/sendmail,service/network/smtp/sendmail,service/network/smtp/sendmail
SUNWsndm_devel,service/network/smtp/sendmail,service/network/smtp/sendmail,service/network/smtp/sendmail
SUNWspeex,codec/speex,codec/speex,codec/speex
SUNWspeex_devel,codec/speex,codec/speex,codec/speex
SUNWsqlite3,database/sqlite-3,database/sqlite-3,database/sqlite-3
SUNWtexi,text/texinfo,text/texinfo,text/texinfo
SUNWunrar,archiver/unrar,archiver/unrar,archiver/unrar
SUNWwget,web/wget,web/wget,web/wget
SUNWxcu4,system/xopen/xcu4,system/xopen/xcu4,system/xopen/xcu4
SUNWxorg_mesa_devel,x11/library/mesa,x11/library/mesa,x11/library/mesa
SUNWxwinc,compatibility/packages/SUNWxwinc,compatibility/packages/SUNWxwinc,compatibility/packages/SUNWxwinc
SUNWxwopt,compatibility/packages/SUNWxwopt,compatibility/packages/SUNWxwopt,compatibility/packages/SUNWxwopt
SUNWxwplt,compatibility/packages/SUNWxwplt,compatibility/packages/SUNWxwplt,compatibility/packages/SUNWxwplt
SUNWxwrtl,x11/compatibility/links-svid,x11/compatibility/links-svid,x11/compatibility/links-svid
SUNWxwxft,x11/library/libxft,x11/library/libxft,x11/library/libxft
SUNWxwxft_devel,x11/library/libxft,x11/library/libxft,x11/library/libxft
SUNWzlib,library/zlib,library/zlib,library/zlib
SUNWzlib_devel,library/zlib,library/zlib,library/zlib
apache2_default,web/server/apache-22,web/server/apache-22,web/server/apache-22
apr_default,pkg://solaris/library/apr-15,SFElibapr,SFElibapr
apr_util_default,pkg://solaris/library/apr-util-15,SFEapr-util,SFEapr-util
avahi_bridge_dsd,system/network/avahi,system/network/avahi,system/network/avahi
boost_gpp_default,SFEboost-gpp,SFEboost-gpp,SFEboost-gpp
compatibility_ucb,compatibility/ucb,compatibility/ucb,compatibility/ucb
data_docbook,developer/documentation-tool/gtk-doc,developer/documentation-tool/gtk-doc,developer/documentation-tool/gtk-doc
developer_build_autogen,developer/build/autogen,developer/build/autogen,developer/build/autogen
developer_build_cmake,developer/build/cmake,developer/build/cmake,developer/build/cmake
developer_build_make,developer/build/make,developer/build/make,developer/build/make
developer_cppunit,SFEcppunit-gpp,developer/cppunit,SFEcppunit-gpp
developer_documentation_tool_doxygen,developer/documentation-tool/doxygen,developer/documentation-tool/doxygen,developer/documentation-tool/doxygen
developer_documentation_tool_gtk_doc,developer/documentation-tool/gtk-doc,developer/documentation-tool/gtk-doc,developer/documentation-tool/gtk-doc
developer_documentation_tool_xmlto,developer/documentation-tool/xmlto,__NOMATCH__,__NOMATCH__
